quartal,h_x1M
1990Q1,1077.2
1990Q2,1067.8
1990Q3,1072.1
1990Q4,1044.4
1991Q1,1033.9
1991Q2,1009.2
1991Q3,977.3
1991Q4,960.6
1992Q1,948.1
1992Q2,962.7
1992Q3,897.4
1992Q4,905.2
1993Q1,884.6
1993Q2,873.1
1993Q3,870.4
1993Q4,870.8
1994Q1,861.7
1994Q2,858.4
1994Q3,887.2
1994Q4,876.6
1995Q1,889.2
1995Q2,886.8
1995Q3,900.2
1995Q4,890.4
1996Q1,904.4
1996Q2,903.1
1996Q3,905.7
1996Q4,910.6
1997Q1,920.7
1997Q2,933.6
1997Q3,936.6
1997Q4,946.9
1998Q1,947.7
1998Q2,936.4
1998Q3,952.9
1998Q4,952.7
1999Q1,957.8
1999Q2,970.5
1999Q3,956.6
1999Q4,982.1
2000Q1,971.3
2000Q2,974.1
2000Q3,993.6
2000Q4,981.5
2001Q1,979.7
2001Q2,992.1
2001Q3,984.8
2001Q4,990.2
2002Q1,992.4
2002Q2,996.7
2002Q3,993.1
2002Q4,995.9
2003Q1,985.3
2003Q2,995.4
2003Q3,997.5
2003Q4,994.9
2004Q1,995.8
2004Q2,1005.0
2004Q3,996.9
2004Q4,999.4
2005Q1,1000.1
2005Q2,998.4
2005Q3,1014.4
2005Q4,1019.5
2006Q1,1024.8
2006Q2,1019.8
2006Q3,1031.4
2006Q4,1019.2
2007Q1,1031.6
2007Q2,1046.5
2007Q3,1037.9
2007Q4,1060.4
2008Q1,1059.4
2008Q2,1061.4
2008Q3,1071.0
2008Q4,1066.9
2009Q1,1029.6
2009Q2,1026.2
2009Q3,1026.7
2009Q4,1014.8
2010Q1,1025.1
2010Q2,1023.0
2010Q3,1013.2
2010Q4,1024.8
2011Q1,1021.2
2011Q2,1040.4
2011Q3,1030.9
2011Q4,1039.5
2012Q1,1042.1
2012Q2,1030.5
2012Q3,1034.9
2012Q4,1032.7
2013Q1,1027.6
2013Q2,1027.3
2013Q3,1015.1
2013Q4,1019.6
2014Q1,1012.4
2014Q2,1014.3
2014Q3,1017.7
2014Q4,1020.8
2015Q1,1011.7
2015Q2,1011.2
2015Q3,1019.3
2015Q4,1013.9
2016Q1,1016.9
2016Q2,1021.4
2016Q3,1023.7
2016Q4,1010.3
2017Q1,1023.4
2017Q2,1021.8
2017Q3,1024.8
2017Q4,1029.7
2018Q1,1039.0
2018Q2,1045.1
2018Q3,1053.0
2018Q4,1058.7
2019Q1,1060.5
2019Q2,1065.8
2019Q3,1061.0
2019Q4,1062.1
2020Q1,1057.4
2020Q2,992.7
2020Q3,1042.4
2020Q4,1031.5
