id,kuntanro,kuntanimi,asuntolkm,talotyyppi,rahmuoto,rahmuoto2,valmvuosi
914,91,Helsinki,1,AP,VR,VO,2020
1756,543,Nurmijarvi,1,AP,VR,VO,2020
805,91,Helsinki,1,AP,VR,VO,2020
201,49,Espoo,1,AP,VR,VO,2020
2015,858,Tuusula,1,AP,VR,VO,2020
1818,543,Nurmijarvi,2,AP,VR,VO,2020
486,49,Espoo,1,AP,VR,VO,2020
414,49,Espoo,1,AP,VR,VO,2020
1219,92,Vantaa,1,AP,VR,VO,2020
933,91,Helsinki,2,AP,VR,VO,2020
244,49,Espoo,1,AP,VR,VO,2020
1732,505,Mantsala,2,AP,VR,VO,2020
1539,186,Jarvenpaa,1,AP,VR,VO,2020
2106,927,Vihti,1,AP,VR,VO,2020
1449,106,Hyvinkaa,1,AP,VR,VO,2020
29,49,Espoo,57,AK,VR,VO,2020
1335,92,Vantaa,1,AP,VR,VO,2020
1637,257,Kirkkonummi,1,AP,VR,VO,2020
415,49,Espoo,2,AP,VR,VO,2020
1828,543,Nurmijarvi,7,AP,VR,VO,2020
764,91,Helsinki,1,AP,VR,VO,2020
1153,92,Vantaa,1,AP,VR,VO,2020
1524,186,Jarvenpaa,1,AP,VR,VO,2020
240,49,Espoo,2,AP,VR,VO,2020
2037,858,Tuusula,1,AP,VR,VO,2020
254,49,Espoo,1,AP,VR,VO,2020
351,49,Espoo,2,AP,VR,VO,2020
1652,257,Kirkkonummi,1,AP,VR,VO,2020
1857,543,Nurmijarvi,4,AK,VR,VO,2020
861,91,Helsinki,1,AP,VR,VO,2020
1474,186,Jarvenpaa,1,AP,VR,VO,2020
863,91,Helsinki,2,AP,VR,VO,2020
1569,186,Jarvenpaa,41,AK,VR,VV,2020
2130,927,Vihti,1,AP,VR,VO,2020
1716,505,Mantsala,1,AP,VR,VO,2020
2094,927,Vihti,1,AP,VR,VO,2020
1529,186,Jarvenpaa,6,AP,ASO,ASO,2020
329,49,Espoo,1,AP,VR,VO,2020
831,91,Helsinki,2,AP,VR,VO,2020
326,49,Espoo,1,AP,VR,VO,2020
1337,92,Vantaa,2,AP,VR,VO,2020
704,91,Helsinki,1,AP,VR,VO,2020
1028,92,Vantaa,1,AP,VR,VO,2020
661,91,Helsinki,1,AP,VR,VO,2020
357,49,Espoo,2,AP,VR,VO,2020
1090,92,Vantaa,1,AP,VR,VO,2020
1944,753,Sipoo,1,AP,VR,VO,2020
901,91,Helsinki,1,AP,VR,VO,2020
426,49,Espoo,1,AP,VR,VO,2020
593,91,Helsinki,45,AK,ASO,ASO,2020
60,49,Espoo,60,AK,VR,VV,2020
911,91,Helsinki,1,AP,VR,VO,2020
155,49,Espoo,1,AP,VR,VO,2020
1889,753,Sipoo,2,AP,VR,VO,2020
2011,858,Tuusula,1,AP,VR,VO,2020
750,91,Helsinki,2,AP,VR,VO,2020
61,49,Espoo,16,AP,VR,VO,2020
317,49,Espoo,2,AP,VR,VO,2020
1734,505,Mantsala,1,AP,VR,VO,2020
1486,186,Jarvenpaa,4,AP,VR,VO,2020
417,49,Espoo,3,AP,VR,VO,2020
1548,186,Jarvenpaa,1,AP,VR,VO,2020
1631,257,Kirkkonummi,1,AP,VR,VO,2020
615,91,Helsinki,1,AP,VR,VO,2020
128,49,Espoo,1,AP,VR,VO,2020
1387,235,Kauniainen,31,AK,VR,VO,2020
1105,92,Vantaa,3,AP,VR,VO,2020
890,91,Helsinki,1,AP,VR,VO,2020
258,49,Espoo,1,AP,VR,VO,2020
1809,543,Nurmijarvi,2,AP,VR,VO,2020
2026,858,Tuusula,1,AP,VR,VO,2020
13,49,Espoo,41,AK,ARA,LK,2020
1151,92,Vantaa,1,AP,VR,VO,2020
1750,543,Nurmijarvi,1,AP,VR,VO,2020
442,49,Espoo,1,AP,VR,VO,2020
2025,858,Tuusula,1,AP,VR,VO,2020
200,49,Espoo,1,AP,VR,VO,2020
507,91,Helsinki,1,AP,VR,VO,2020
1091,92,Vantaa,2,AP,VR,VO,2020
1978,858,Tuusula,1,AP,VR,VO,2020
1999,858,Tuusula,1,AP,VR,VO,2020
136,49,Espoo,1,AP,VR,VO,2020
1927,753,Sipoo,1,AP,VR,VO,2020
195,49,Espoo,1,AP,VR,VO,2020
1958,858,Tuusula,1,AP,VR,VO,2020
107,49,Espoo,2,AP,VR,VO,2020
819,91,Helsinki,1,AP,VR,VO,2020
1902,753,Sipoo,1,AP,VR,VO,2020
1391,235,Kauniainen,1,AP,VR,VO,2020
464,49,Espoo,1,AP,VR,VO,2020
1709,505,Mantsala,4,AK,VR,VO,2020
110,49,Espoo,1,AP,VR,VO,2020
1033,92,Vantaa,1,AP,VR,VO,2020
1166,92,Vantaa,45,AK,VR,VV,2020
1223,92,Vantaa,1,AP,VR,VO,2020
1705,505,Mantsala,1,AP,VR,VO,2020
384,49,Espoo,2,AP,VR,VO,2020
436,49,Espoo,1,AP,VR,VO,2020
1743,505,Mantsala,2,AP,VR,VO,2020
599,91,Helsinki,40,AK,VR,VO,2020
191,49,Espoo,1,AP,VR,VO,2020
47,49,Espoo,36,AK,ARA,LK,2020
600,91,Helsinki,49,AK,VR,VO,2020
1182,92,Vantaa,60,AK,VR,VO,2020
804,91,Helsinki,5,AP,VR,VO,2020
76,49,Espoo,1,AP,VR,VO,2020
106,49,Espoo,1,AP,VR,VO,2020
684,91,Helsinki,2,AP,VR,VO,2020
917,91,Helsinki,2,AP,VR,VO,2020
1374,92,Vantaa,1,AP,VR,VO,2020
96,49,Espoo,2,AP,VR,VO,2020
525,91,Helsinki,2,AP,VR,VO,2020
395,49,Espoo,1,AP,VR,VO,2020
798,91,Helsinki,1,AP,VR,VO,2020
133,49,Espoo,1,AP,VR,VO,2020
1739,505,Mantsala,1,AP,VR,VO,2020
1278,92,Vantaa,2,AP,VR,VO,2020
1164,92,Vantaa,6,AP,VR,VO,2020
1617,245,Kerava,1,AP,VR,VO,2020
282,49,Espoo,2,AP,VR,VO,2020
2027,858,Tuusula,1,AP,VR,VO,2020
1543,186,Jarvenpaa,1,AP,VR,VO,2020
1861,753,Sipoo,1,AP,VR,VO,2020
499,49,Espoo,1,AP,VR,VO,2020
480,49,Espoo,1,AP,VR,VO,2020
1830,543,Nurmijarvi,5,AP,VR,VO,2020
253,49,Espoo,1,AP,VR,VO,2020
810,91,Helsinki,1,AP,VR,VO,2020
713,91,Helsinki,2,AP,VR,VO,2020
1812,543,Nurmijarvi,2,AP,VR,VO,2020
1208,92,Vantaa,2,AP,VR,VO,2020
1181,92,Vantaa,1,AP,VR,VO,2020
1221,92,Vantaa,1,AP,VR,VO,2020
762,91,Helsinki,57,AK,VR,VO,2020
18,49,Espoo,81,AK,VR,VO,2020
1654,257,Kirkkonummi,15,AP,ARA,ER,2020
1540,186,Jarvenpaa,1,AP,VR,VO,2020
590,91,Helsinki,81,AK,ARA,ER,2020
1980,858,Tuusula,1,AP,VR,VO,2020
1759,543,Nurmijarvi,1,AP,VR,VO,2020
1130,92,Vantaa,1,AP,VR,VO,2020
1082,92,Vantaa,2,AP,VR,VO,2020
2097,927,Vihti,1,AP,VR,VO,2020
140,49,Espoo,2,AP,VR,VO,2020
1952,858,Tuusula,2,AP,VR,VO,2020
207,49,Espoo,4,AP,VR,VO,2020
1077,92,Vantaa,2,AP,VR,VO,2020
1561,186,Jarvenpaa,60,AK,VR,VO,2020
957,91,Helsinki,1,AK,VR,VO,2020
489,49,Espoo,1,AP,VR,VO,2020
463,49,Espoo,1,AP,VR,VO,2020
1378,92,Vantaa,2,AP,VR,VO,2020
885,91,Helsinki,1,AP,VR,VO,2020
1598,245,Kerava,1,AP,VR,VO,2020
1303,92,Vantaa,1,AP,VR,VO,2020
2095,927,Vihti,1,AP,VR,VO,2020
801,91,Helsinki,2,AP,VR,VO,2020
803,91,Helsinki,5,AP,VR,VO,2020
823,91,Helsinki,1,AP,VR,VO,2020
1630,257,Kirkkonummi,1,AP,VR,VO,2020
123,49,Espoo,1,AP,VR,VO,2020
1188,92,Vantaa,1,AP,VR,VO,2020
1847,543,Nurmijarvi,1,AP,VR,VO,2020
2071,858,Tuusula,2,AP,VR,VO,2020
718,91,Helsinki,1,AP,VR,VO,2020
891,91,Helsinki,1,AP,VR,VO,2020
1575,186,Jarvenpaa,18,AK,VR,VO,2020
459,49,Espoo,2,AP,VR,VO,2020
687,91,Helsinki,4,AP,ASO,ASO,2020
2082,858,Tuusula,1,AP,VR,VO,2020
488,49,Espoo,1,AP,VR,VO,2020
1211,92,Vantaa,2,AP,VR,VO,2020
263,49,Espoo,1,AP,VR,VO,2020
519,91,Helsinki,2,AP,VR,VO,2020
1678,257,Kirkkonummi,1,AP,VR,VO,2020
1150,92,Vantaa,2,AP,VR,VO,2020
1140,92,Vantaa,2,AP,VR,VO,2020
193,49,Espoo,4,AP,VR,VO,2020
1915,753,Sipoo,1,AP,VR,VO,2020
1458,186,Jarvenpaa,42,AK,VR,VO,2020
135,49,Espoo,1,AP,VR,VO,2020
1255,92,Vantaa,1,AP,VR,VO,2020
776,91,Helsinki,2,AP,VR,VO,2020
656,91,Helsinki,1,AP,VR,VO,2020
994,91,Helsinki,1,AP,VR,VO,2020
1395,235,Kauniainen,1,AP,VR,VO,2020
28,49,Espoo,84,AK,VR,VO,2020
165,49,Espoo,2,AP,VR,VO,2020
1562,186,Jarvenpaa,15,AK,VR,VO,2020
